COURSE,SECTION (CRN),TITLE (CREDIT HOURS),CAMPUS,COURSE TIME,INSTRUCTOR
ASIA 1770,B04 (50636),Introduction to Japanese (Part B) (0),M,"Apr 02 - Apr 02, 14:30-15:20 (W)",TBA
ASIA 1770,A01 (50637),Introduction to Japanese (Part B) (3),M,"Jan 06 - Apr 09, 09:30-10:20 (MWF)",Yuhko Kayama
ASIA 2630,A01 (64261),Chinese Civilization (3),M,"Jan 06 - Apr 09, 09:30-10:20 (MWF)",Adrian Thieret
ASIA 2750,A01 (55967),Intermediate Korean (Part B) (3),M,"Jan 06 - Apr 09, 14:30-15:45 (TR)",TBA
ASIA 2750,B01 (58666),Intermediate Korean (Part B) (0),M,"Jan 06 - Apr 09, 10:00-10:50 (R)",TBA
ASIA 2760,A01 (50641),Intermediate Chinese (Mandarin) (Part B) (3),M,"Jan 06 - Apr 09, 11:30-12:20 (MWF)",Shu Zhu
ASIA 2760,B01 (58669),Intermediate Chinese (Mandarin) (Part B) (0),M,"Jan 06 - Apr 09, 14:30-15:20 (M)",Shu Zhu
ASIA 2770,A01 (50644),Intermediate Japanese (Part B) (3),M,"Jan 06 - Apr 09, 11:30-12:20 (MWF)",Yuhko Kayama
ASIA 2770,B01 (50642),Intermediate Japanese (Part B) (0),M,"Feb 18 - Feb 18, 14:30-15:20 (T)",Yuhko Kayama
ASIA 2770,B01 (50642),Intermediate Japanese (Part B) (0),M,"Jan 21 - Jan 21, 14:30-15:20 (T)",Yuhko Kayama
ASIA 2770,B01 (50642),Intermediate Japanese (Part B) (0),M,"Feb 04 - Feb 04, 14:30-15:20 (T)",Yuhko Kayama
ASIA 2770,B01 (50642),Intermediate Japanese (Part B) (0),M,"Mar 18 - Mar 18, 14:30-15:20 (T)",Yuhko Kayama
ASIA 2770,B01 (50642),Intermediate Japanese (Part B) (0),M,"Jan 28 - Jan 28, 14:30-15:20 (T)",Yuhko Kayama
ASIA 2770,B01 (50642),Intermediate Japanese (Part B) (0),M,"Jan 14 - Jan 14, 14:30-15:20 (T)",Yuhko Kayama
ASIA 2770,B01 (50642),Intermediate Japanese (Part B) (0),M,"Feb 25 - Feb 25, 14:30-15:20 (T)",Yuhko Kayama
ASIA 2770,B01 (50642),Intermediate Japanese (Part B) (0),M,"Mar 11 - Mar 11, 14:30-15:20 (T)",Yuhko Kayama
ASIA 2770,B01 (50642),Intermediate Japanese (Part B) (0),M,"Apr 08 - Apr 08, 14:30-15:20 (T)",Yuhko Kayama
ASIA 2770,B01 (50642),Intermediate Japanese (Part B) (0),M,"Mar 04 - Mar 04, 14:30-15:20 (T)",Yuhko Kayama
ASIA 2770,B01 (50642),Intermediate Japanese (Part B) (0),M,"Mar 25 - Mar 25, 14:30-15:20 (T)",Yuhko Kayama
ASIA 2770,B01 (50642),Intermediate Japanese (Part B) (0),M,"Apr 01 - Apr 01, 14:30-15:20 (T)",Yuhko Kayama
ASIA 3600,A01 (63037),Japanese Popular Culture (3),M,"Jan 06 - Apr 09, 11:30-12:45 (TR)",TBA
ASIA 3770,A01 (64262),Advanced Japanese (Part B) (3),M,"Jan 06 - Apr 09, 13:30-14:20 (MWF)",Yuhko Kayama
CDN 1000,D01 (62665),Introduction to Canada (3),DE,Jan 06 - Apr 09,TBA
CATH 1190,A02 (51589),Introduction to Catholic Studies (3),M,"Jan 06 - Apr 09, 14:30-15:45 (TR)",Meredith Bacola
CATH 1190,A01 (50675),Introduction to Catholic Studies (3),M,"Jan 06 - Apr 09, 09:30-10:20 (MWF)",TBA
CATH 2000,T07 (64260),Catholicism and Ecology in Perspective (3),M,"Jan 06 - Apr 09, 10:00-11:15 (TR)",Meredith Bacola
CATH 2020,A01 (64259),Literature and Catholic Culture 2 (3),M,"Jan 06 - Apr 09, 13:30-14:20 (MWF)",TBA
CLAS 1270,D01 (50624),Introduction to Ancient Greek Culture (3),DE,Jan 06 - Apr 09,TBA
CLAS 1270,A02 (56160),Introduction to Ancient Greek Culture (3),M,"Jan 06 - Apr 09, 13:00-14:15 (TR)",TBA
CLAS 1280,A01 (50010),Introduction to Ancient Roman Culture (3),M,"Jan 06 - Apr 09, 14:30-15:20 (MWF)",Robert Nau
CLAS 1280,D01 (50625),Introduction to Ancient Roman Culture (3),DE,Jan 06 - Apr 09,TBA
CLAS 1520,D01 (58586),Greek and Roman Mythology (3),DE,Jan 06 - Apr 09,TBA
CLAS 1520,A01 (58584),Greek and Roman Mythology (3),M,"Jan 06 - Apr 09, 11:30-12:20 (MWF)",Christopher Sampson
CLAS 1520,A02 (58585),Greek and Roman Mythology (3),M,"Jan 06 - Apr 09, 10:00-11:15 (TR)",TBA
CLAS 2170,A01 (64519),"Roman History: The Roman Empire, 30 BC-AD 337 (3)",M,"Jan 06 - Apr 09, 10:30-11:20 (MWF)",Lea Stirling
CLAS 2180,A01 (64520),Ancient Greece and Rome through Film (3),M,"Jan 06 - Apr 09, 19:00-21:45 (T)",Robert Nau
CLAS 3660,A01 (64521),Religion in Ancient Rome (3),M,"Jan 06 - Apr 09, 12:30-13:20 (MWF)",Lea Stirling
CLAS 3710,T10 (64522),The World of Alexander (3),M,"Jan 06 - Apr 09, 13:30-14:20 (MWF)",Mark Lawall
CLAS 7002,A01 (59801),Proseminar in Classical Studies 2 (0),M,Jan 06 - Apr 09,James Chlup
CLAS 7310,T10 (64523),The World of Alexander (3),M,Jan 06 - Apr 09,Mark Lawall
